([1, 1, 1, 1, 1], [2, 3, 8, 10, 7], 169)
([1, 1, 1, 1, 1], [2, 5, 7, 13, 8], 597)
([1, 1, 1, 1, 1], [2, 6, 5, 7, 8], 831)
([1, 1, 1, 1, 1], [2, 6, 11, 9, 3], 60)
([1, 1, 1, 1, 1], [2, 8, 7, 6, 11], 694)
([1, 1, 1, 1, 1], [2, 8, 10, 7, 6], 44)
([1, 1, 1, 1, 1], [2, 8, 11, 6, 10], 240)
([1, 1, 1, 1, 1], [2, 9, 5, 12, 8], 914)
([1, 1, 1, 1, 1], [2, 9, 10, 12, 5], 91)
([1, 1, 1, 1, 1], [2, 10, 9, 7, 14], 665)
([1, 1, 1, 1, 1], [2, 10, 9, 8, 3], 100)
([1, 1, 1, 1, 1], [2, 11, 4, 10, 14], 951)
([1, 1, 1, 1, 1], [2, 13, 5, 11, 6], 933)
([1, 1, 1, 1, 1], [2, 13, 9, 6, 8], 68)
([1, 1, 1, 1, 1], [2, 14, 12, 5, 13], 200)
([1, 1, 1, 1, 1], [3, 2, 5, 9, 4], 960)
([1, 1, 1, 1, 1], [3, 4, 9, 8, 2], 278)
([1, 1, 1, 1, 1], [3, 4, 12, 8, 2], 472)
([1, 1, 1, 1, 1], [3, 7, 5, 4, 11], 744)
([1, 1, 1, 1, 1], [3, 7, 8, 2, 14], 195)
([1, 1, 1, 1, 1], [3, 9, 2, 4, 11], 716)
([1, 1, 1, 1, 1], [3, 9, 8, 11, 12], 582)
([1, 1, 1, 1, 1], [3, 10, 11, 13, 7], 792)
([1, 1, 1, 1, 1], [3, 11, 5, 7, 14], 817)
([1, 1, 1, 1, 1], [3, 12, 9, 14, 5], 777)
([1, 1, 1, 1, 1], [3, 13, 11, 2, 7], 560)
([1, 1, 1, 1, 1], [3, 14, 2, 6, 9], 128)
([1, 1, 1, 1, 1], [3, 14, 4, 10, 7], 894)
([1, 1, 1, 1, 1], [3, 14, 12, 10, 8], 157)
([1, 1, 1, 1, 1], [4, 2, 3, 6, 11], 222)
([1, 1, 1, 1, 1], [4, 2, 8, 11, 14], 569)
([1, 1, 1, 1, 1], [4, 2, 9, 5, 13], 89)
([1, 1, 1, 1, 1], [4, 2, 9, 7, 14], 451)
([1, 1, 1, 1, 1], [4, 3, 8, 2, 14], 622)
([1, 1, 1, 1, 1], [4, 3, 8, 9, 5], 140)
([1, 1, 1, 1, 1], [4, 6, 8, 12, 9], 827)
([1, 1, 1, 1, 1], [4, 9, 10, 8, 5], 411)
([1, 1, 1, 1, 1], [4, 10, 2, 7, 8], 852)
([1, 1, 1, 1, 1], [4, 10, 6, 12, 14], 905)
([1, 1, 1, 1, 1], [4, 11, 10, 9, 5], 920)
([1, 1, 1, 1, 1], [4, 12, 9, 10, 3], 990)
([1, 1, 1, 1, 1], [4, 13, 8, 6, 9], 885)
([1, 1, 1, 1, 1], [4, 14, 6, 9, 3], 643)
